"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Design and Experiment of Multi-Modal Intelligent Elderly Assisted Wheelchair Robot","Y. Zhang; H. Mao; S. Yu; A. Zhu; X. Wang; N. Wang; Z. Zhang; H. Xu","Shaanxi Key Laboratory of Intelligent Robots, Institute of Robotics & Intelligent Systems, Xi'an Jiaotong University, Xi'an, China; Shaanxi Key Laboratory of Intelligent Robots, Institute of Robotics & Intelligent Systems, Xi'an Jiaotong University, Xi'an, China; Key Laboratory of Education Ministry for Modern Design and Rotor-Bearing System, Xi'an, China; Shaanxi Key Laboratory of Intelligent Robots, Institute of Robotics & Intelligent Systems, Xi'an Jiaotong University, Xi'an, China; School of Construction Machinery, Chang'an University, Xi'an, China; Key Laboratory of Education Ministry for Modern Design and Rotor-Bearing System, Xi'an, China; Shaanxi Key Laboratory of Intelligent Robots, Institute of Robotics & Intelligent Systems, Xi'an Jiaotong University, Xi'an, China; Shaanxi Key Laboratory of Intelligent Robots, Institute of Robotics & Intelligent Systems, Xi'an Jiaotong University, Xi'an, China","2023 International Conference on Advanced Robotics and Mechatronics (ICARM)","25 Aug 2023","2023","","","1023","1028","In response to the prevalent social issue of elderly individuals living alone who lack independent mobility and face difficulties in standing up and getting up, a multi-modal intelligent elderly assistance wheelchair robot has been developed to provide assistance in such scenarios. This paper presents the analysis of the assistance needs of the elderly, along with the proposed main functions of the robot. The mechanical structure of the robot was designed and verified through finite element analysis, followed by experimental verification of assisted standing, transformation of bed and chair form, assisted getting up, and knee-free bending assisted getting up functions. The results of the experiments demonstrate that the multi-modal intelligent wheelchair robot developed in this study can effectively assist the elderly living alone in completing the actions of getting up and standing, thereby reducing their physical burden in home activities and improving their quality of life. This development has potential for broader applicability in the field of elderly care.","","979-8-3503-0017-8","10.1109/ICARM58088.2023.10218813","Fundamental Research Funds for the Central Universities(grant numbers:xzd012022019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10218813","","Mechatronics;Wheelchairs;Bending;Finite element analysis;Mobile robots;Older adults;Faces","bending;finite element analysis;geriatrics;handicapped aids;mobile robots;wheelchairs","assistance needs;assisted standing;elderly individuals;elderly living;multimodal intelligent elderly assistance wheelchair robot;multimodal intelligent elderly assisted wheelchair robot;multimodal intelligent wheelchair robot","","","","14","IEEE","25 Aug 2023","","","IEEE","IEEE Conferences"
"Scientific mapping of 35 years of human factors research in occupational human-robot-interaction","P. H. Rosen; S. Wischniewski","Federal Institute of Occupational Safety and Health (BAuA), Unit “Human Factors, Ergonomics”, Friedrich-Henkel-Weg 1-25, Dortmund, Germany; Federal Institute of Occupational Safety and Health (BAuA), Unit “Human Factors, Ergonomics”, Friedrich-Henkel-Weg 1-25, Dortmund, Germany","2019 IEEE International Conference on Advanced Robotics and its Social Impacts (ARSO)","6 Jan 2020","2019","","","235","239","The field of human-robot-interaction is undergoing a constant change due to ongoing technological innovations. This paper addresses the research question, whether human factors concepts related to occupational human-robot-interaction show a similar development. First a search algorithm based literature search was done in different databases. We then used a combined approach of text mining technique as well as a rater based judgment in order to map the identified literature according to human factors concepts.","2162-7576","978-1-7281-3176-4","10.1109/ARSO46408.2019.8948725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948725","","Text mining;Economics;Technological innovation;Employment;Human factors;Task analysis;Robots","data mining;human factors;human-robot interaction","search algorithm based literature search;human factors research;occupational human-robot-interaction;technological innovations;text mining technique;rater based judgment","","1","","12","IEEE","6 Jan 2020","","","IEEE","IEEE Conferences"
"Mechatronic Systems Design of ROHNI-1: Hybrid Cyber-Human Medical Robot for COVID-19 Health Surveillance at Wholesale-Supermarket Entrances","R. M. Ñope-Giraldo; L. A. Illapuma-Ccallo; J. Cornejo; P. Palacios; J. L. Napán; F. Cruz; R. Palomares; J. A. Cornejo-Aguilar; M. Vargas","Professional School of Mechatronics Engineering, Universidad Ricardo Palma, Lima, Peru; Professional School of Mechatronics Engineering, Universidad Ricardo Palma, Lima, Peru; Professional School of Mechatronics Engineering, Universidad Ricardo Palma, Lima, Peru; Bioastronautics & Space Mechatronics Research Group, Lima, Peru; Bioastronautics & Space Mechatronics Research Group, Lima, Peru; Professional School of Mechatronics Engineering, Universidad Ricardo Palma, Lima, Peru; Professional School of Mechatronics Engineering, Universidad Ricardo Palma, Lima, Peru; Faculty of Human Medicine, Universidad Ricardo Palma, Lima, Peru; Faculty of Health Sciences, Universidad de León, León, Spain","2021 Global Medical Engineering Physics Exchanges/Pan American Health Care Exchanges (GMEPE/PAHCE)","24 May 2021","2021","","","1","7","The critical situation of COVID-19 widespread in Perú from the beginning of year 2020, has been maximized by the avoidance of social distancing reflected in crowded public places where most people go without any personal protective equipment (PPEs) leading to higher risk of virus transmission. Therefore, an innovative research has been conducted in 2020 under the supervision of the Mechatronic Engineering Laboratory at Ricardo Palma University and Bioastronautics & Space Mechatronics Research Group, resulting in the proposed project named “ROHNI-1” medical robot, as Social Humanoid Machine, that is going to be located at the entrance of a wholesale-supermarket. It is composed by 3 wheels in the chassis-base and 2 anthropomorphic arms of 4 DOF each. In order to perform an efficient human-machine interaction, it can develop 3 functions such as Detection of mask, Disinfection of hands and Monitoring of vital signs. This study presents a mechatronics conceptual design using the software SolidWorks 2020 for 3D mechanical systems development, Proteus 8 for electrical and electronics circuit technical schematics, and also, Matlab 2020a for kinematic motion testing of the robotic arms. In conclusion, favourable simulation results were achieved; the robot manufacturing is expected to be ready by 2021, and due to frugal-innovation engineering analysis, it is planned to be donated to Latin American countries working with supermarket-chains.","2327-817X","978-1-7281-7054-1","10.1109/GMEPE/PAHCE50215.2021.9434874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9434874","COVID-19;ROHNI-1;Medical Robot;Social Humanoid Machine;Detection;Disinfection;Monitoring;Wholesale-Supermarket","COVID-19;Mechatronics;Medical robotics;Three-dimensional displays;Surveillance;Humanoid robots;Wheels","CAD;control engineering computing;design engineering;humanoid robots;mechanical engineering computing;mechatronics;medical robotics;product design;robot kinematics;robot vision","ROHNI-1;hybrid cyber-human medical robot;COVID-19 health surveillance;wholesale-supermarket entrances;Perú;social distancing;crowded public places;personal protective equipment;PPEs;Mechatronic Engineering Laboratory;Ricardo Palma University;anthropomorphic arms;human-machine interaction;mechatronics conceptual design;3D mechanical systems development;electrical electronics circuit technical schematics;robotic arms;robot manufacturing;supermarket-chains;innovation engineering analysis;SolidWorks 2020 software;social humanoid machine;Bioastronautics and Space Mechatronics Research Group","","22","","76","IEEE","24 May 2021","","","IEEE","IEEE Conferences"
"Cognitive Exercise for Persons With Alzheimer's Disease and Related Dementia Using a Social Robot","F. Yuan; M. Boltz; D. Bilal; Y. -L. Jao; M. Crane; J. Duzan; A. Bahour; X. Zhao","Department of Mechanical, Aerospace, and Biomedical Engineering, University of Tennessee, Knoxville, TN, USA; College of Nursing, Pennsylvania State University, University Park, PA, USA; School of Information Sciences, University of Tennessee, Knoxville, TN, USA; College of Nursing, Pennsylvania State University, University Park, PA, USA; Genesis Neuroscience Clinic, Knoxville, TN, USA; Genesis Neuroscience Clinic, Knoxville, TN, USA; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA; Department of Mechanical, Aerospace, and Biomedical Engineering, University of Tennessee, Knoxville, TN, USA","IEEE Transactions on Robotics","9 Aug 2023","2023","39","4","3332","3346","Reminiscence therapy (RT) can improve the mood and communication of persons living with Alzheimer's disease and Alzheimer's-disease-related dementias (PLWD). Traditional RT requires professionals' facilitation, limiting its accessibility to PLWD. Social robotics has the potential to facilitate RT, enabling accessible home-based RT. However, studies are needed to investigate how PLWD would perceive a robot-mediated reminiscence therapy (RMRT) and how to develop RMRT for positive user experience and successful adoption. In this article, we develop a prototype of RMRT using a humanoid social robot and test it with 12 participants (seven PLWD, two with mild cognitive impairment, and three informal caregivers). The robot automatically displays a memory trigger on its tablet and engages participants in a relatable conversation during RMRT. A mixed-method approach is employed to assess its acceptability and usability. Our results show that PLWD have an overall positive user experience with the RMRT. Participants laugh and sing along with the robot during RMRT and demonstrate intention to use it. In addition, we discuss a robot control method and several critical problems for RMRT. The RMRT can facilitate both verbal and nonverbal social interaction for PLWD and holds promise for engaging, personalized, and efficient home-based cognitive exercises for PLWD.","1941-0468","","10.1109/TRO.2023.3272846","National Institutes of Health(grant numbers:R01AG077003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10136814","Alzheimer's disease;cognitive exercise;dementia care;reminiscence therapy (RT);social robots","Robots;Videos;Usability;Oral communication;Social robots;Chatbots;Graphical user interfaces","cognition;diseases;geriatrics;human computer interaction;human-robot interaction;humanoid robots;medical computing;neurophysiology","accessible home-based RT;Alzheimer's disease;Alzheimer's-disease;cognitive exercise;efficient home-based cognitive exercises;engaging home-based cognitive exercises;humanoid social robot;mild cognitive impairment;nonverbal social interaction;personalized, home-based cognitive exercises;positive user experience;professionals;relatable conversation;related dementia;RMRT;robot control method;robot-mediated reminiscence therapy;seven PLWD;social robotics;verbal interaction","","","","56","IEEE","26 May 2023","","","IEEE","IEEE Journals"
"Therapists' Opinions on Telehealth, Robotics, and Socially Assistive Robot-Augmented Telepresence Systems for Rehabilitation","M. J. Sobrepera; V. G. Lee; M. J. Johnson","School of Engineering and Applied Sciences, Department of Mechanical Engineering and Applied Mechanics, University of Pennsylvania, Philadelphia, PA, USA; School of Engineering and Applied Sciences' Department of General Robotics, Automation, Sensing, & Perception (GRASP), University of Pennsylvania, Philadelphia, PA, USA; Department of Physical Medicine and Rehabilitation and BioEngineering. She directs the Rehab Robotics Lab (A GRASP Lab), University of Pennsylvania, Philadelphia, PA, USA","2022 9th IEEE RAS/EMBS International Conference for Biomedical Robotics and Biomechatronics (BioRob)","3 Nov 2022","2022","","","1","8","Shortages in therapists, along with the COVID-19 pandemic, have created a gap in care for people with cerebral palsy, stroke, and many other conditions requiring rehabilitation. Socially assistive robots and telehealth are two tools which could help fill this gap and may be able to work together, in socially assistive robot-augmented telerehabilitation, to create meaningful telerehab encounters. We present results from a survey completed between Jun 31, 2020, and Dec 31, 2020, asking 379 therapists in the United States for their opinions on features which may be useful for a telerehabilitation platform and for their general feelings towards robots. We explore their answers and reduce the response space by identifying six factors underlying the answers. We show that therapists want high quality video, control over robots, and more regulations. We also find that they are positive about the features which could be used in socially assistive robot-augmented telerehabilitation.","2155-1782","978-1-6654-5849-8","10.1109/BioRob52689.2022.9925557","National Institutes of Health(grant numbers:F31HD102165); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9925557","","COVID-19;Telepresence;Pandemics;Telemedicine;Social robots;Biomechatronics;Stroke (medical condition)","assistive robots;handicapped aids;medical computing;medical robotics;patient rehabilitation;telemedicine","therapists;telehealth;socially assistive robot-augmented telerehabilitation;socially assistive robots;conditions requiring rehabilitation;COVID-19 pandemic;socially assistive robot-augmented telepresence systems;robotics","","","","28","IEEE","3 Nov 2022","","","IEEE","IEEE Conferences"
"A Metaethical Reflection: The Ethics of Embedding Ethics into Robots","J. Borenstein; R. C. Arkin; A. R. Wagner","School of Public Policy and Office of Graduate Education, Georgia Institute of Technology; School of Interactive Computing, Georgia Institute of Technology; Rock Ethics Institute, Pennsylvania State University","2022 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO)","27 Jun 2022","2022","","","1","3","This paper examines the metaethical dimensions of the computing community’s efforts to program ethical decision-making abilities into robots. Arguments for and against that endeavor are outlined along with brief recommendations for the human-robot interaction realm.","2162-7576","978-1-6654-7966-0","10.1109/ARSO54254.2022.9802973","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9802973","","Ethics;Conferences;Decision making;Human-robot interaction;Reflection;Robots","decision making;ethical aspects;human-robot interaction","computing community;embedding ethics;ethical decision-making abilities;human-robot interaction realm;metaethical dimensions;metaethical reflection","","","","12","IEEE","27 Jun 2022","","","IEEE","IEEE Conferences"
"Can Non-Humanoid Social Robots Reduce Workload of Special Educators : An Online and In-Premises Field Study","N. Paul; S. Ramesh; C. Bhattacharya; J. Ramesh; P. Vijayan","Department of Computer Science and Automation, Indian Institute Of Science, Bengaluru, India; Department of Computer Science and Automation, Indian Institute Of Science, Bengaluru, India; Department of Computer Science and Automation, Indian Institute Of Science, Bengaluru, India; Academy for Severe Handicaps and Autism(ASHA); Academy for Severe Handicaps and Autism(ASHA)","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","11386","11392","Although Socially Assistive Robotics have been used in Autism Spectrum Disorder (ASD) interventions, such studies often exclude Special Educators (SEs) and often use expensive humanoid robots. In this paper, we investigate whether non-humanoid toy robots can act as teaching aids in ASD Education, in particular, can they reduce the workload of SEs. We target two most common yet divergent problems from Individualized Education Plans (IEPs) of ASD children - communication and gross motor skills. We present results from three studies a) toy robot Cozmo assists SEs in verbal lessons in school premises, b) mini drone Tello helps SEs in exercise lessons in school premises, and c) Cozmo, SEs, and ASD children connect remotely, as mandated due to the Covid-19 pandemic, for verbal lessons. All three studies showed improvement in learning outcomes and reduction in prompts from the SEs, denoting reduced workload. The effect of a robot's virtual presence in online ASD interventions has not been studied before. However, our results show that children spent more time on lessons in online intervention with Cozmo, suggesting that using robots should also be considered when designing online interventions. Furthermore, the roles of Cozmo were analyzed, and we found children showed increased spontaneous interaction when Cozmo acts as a Co-Instructor. Thus, preliminary results indicate toy robots, as opposed to expensive humanoids, may have significant potential in aiding SEs in Autism education.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561633","","Autism;Pandemics;Robot kinematics;Toy manufacturing industry;Education;Humanoid robots;Variable speed drives","computer aided instruction;handicapped aids;humanoid robots;human-robot interaction;medical disorders;robot vision;teaching","nonhumanoid social robots reduce workload;Special Educators;In-Premises Field Study;Socially Assistive Robotics;Autism Spectrum Disorder interventions;SEs;expensive humanoid robots;nonhumanoid toy robots;ASD Education;Individualized Education Plans;ASD children - communication;toy robot Cozmo;verbal lessons;school premises;reduced workload;online ASD interventions;online intervention;designing online interventions;expensive humanoids;Autism education","","","","36","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Map Making in Social Indoor Environment Through Robot Navigation Using Active SLAM","K. J. Singh; D. S. Kapoor; K. Thakur; A. Sharma; A. Nayyar; S. Mahajan; M. A. Shah","Kalpana Chawla Centre for Research in Space Science and Technology, Chandigarh University, Mohali, Punjab, India; Kalpana Chawla Centre for Research in Space Science and Technology, Chandigarh University, Mohali, Punjab, India; Kalpana Chawla Centre for Research in Space Science and Technology, Chandigarh University, Mohali, Punjab, India; Kalpana Chawla Centre for Research in Space Science and Technology, Chandigarh University, Mohali, Punjab, India; Graduate School, Faculty of Information Technology, Duy Tan University, Da Nang, Vietnam; Ajeenkya D Y Patil University, Pune, Maharashtra, (iNurture Education Solutions Pvt. Ltd., Bangalore), DY Patil Knowledge City Road, Charholi Budruk, Lohegaon, Pune, Maharashtra, India; Department of Economics, Bakhtar University, Kabul, Afghanistan","IEEE Access","30 Dec 2022","2022","10","","134455","134465","Robotics has come a long way from industrial robotic arms and is all set to enter our homes. The capability of a robot to navigate in an unknown human populated environment with obstacles and making map simultaneously is one of the significant characteristics in the domain of autonomous robotics. Further, the problem of robot navigating in a social environment while ensuring human safety and comfort through social norms needs to be addressed. This article presents a solution for mapping of unknown terrains with dynamic obstacles using simultaneous localization in social environments through Adaptive Squashing Function based artificial neural network training, which is able to track the target orientation angles more efficiently as compared to conventional fixed slope squashing function based backpropagation training algorithm. The performance of different state of the art techniques have been compared with proposed work through simulation models. Simulation results demonstrated the effectiveness of the proposed algorithm in complex environment where the proposed algorithm converged in less than 50% of the iterations taken by the exhaustive search algorithms and approximately 33% of the iterations taken by random search algorithm. Further, the proposed approach was tested in the real-world settings, wherein the robot was deployed to create map for the Kalpana Chawla Center for Research in Space Science and Technology, Chandigarh University with mobile humans.","2169-3536","","10.1109/ACCESS.2022.3230989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994707","Active SLAM;autonomous robot navigation;obstacle avoidance;real-time systems;socially aware robot navigation;stereo-vision","Robots;Simultaneous localization and mapping;Navigation;Cameras;Service robots;Robot vision systems;Sensors;Collision avoidance;Real-time systems","backpropagation;collision avoidance;industrial robots;learning (artificial intelligence);mobile robots;neural nets;path planning;robot vision;search problems;SLAM (robots);tracking","active SLAM;Adaptive Squashing Function;artificial neural network training;autonomous robotics;complex environment;conventional fixed slope squashing function;dynamic obstacles;exhaustive search algorithms;human safety;industrial robotic arms;making map;random search algorithm;robot navigating;robot navigation;significant characteristics;social environment;social indoor environment;social norms;training algorithm;unknown human populated environment;unknown terrains","","2","","36","CCBY","20 Dec 2022","","","IEEE","IEEE Journals"
"Assessing the Reality Gap of Robotic Simulations with Educational Purposes","J. D. T. Souza; P. J. L. Silva; A. H. M. Pinto; F. F. Monteiro; J. M. X. N. Teixeira","Voxar Labs and Maracatronics Robotics Team, at Computer Sciences Center, Universidade Federal de Pernambuco, State of Pernambuco, Brazil; Voxar Labs and Maracatronics Robotics Team, at Computer Sciences Center, Universidade Federal de Pernambuco, State of Pernambuco, Brazil; Voxar Labs and Maracatronics Robotics Team, at Computer Sciences Center, Universidade Federal de Pernambuco, State of Pernambuco, Brazil; Voxar Labs and Maracatronics Robotics Team, at Computer Sciences Center, Universidade Federal de Pernambuco, State of Pernambuco, Brazil; Voxar Labs and Maracatronics Robotics Team, at Computer Sciences Center, Universidade Federal de Pernambuco, State of Pernambuco, Brazil","2020 Latin American Robotics Symposium (LARS), 2020 Brazilian Symposium on Robotics (SBR) and 2020 Workshop on Robotics in Education (WRE)","7 Jan 2021","2020","","","1","6","The use of simulation and visualization tools to validate mechanical designs and programming for robots has become increasingly important. Being used in many scenarios, simulators have collaborated for research in machine learning, deep learning and training of professionals. Nowadays, with the Covid-19 pandemic and social distancing, simulators have great potential as a tool to help in the teaching of robotics. However, research indicates that the user may encounter differences between what happens in the simulator and in real life, this effect is called reality gap. This article aims to investigate the effects of this gap in an educational robotics simulator, named Virtual Robotics Toolkit (VRT), as well as its impacts on the testing of algorithms and to propose strategies to reduce the impact of this effect. Three batch tests were carried out on two different robots, both in the simulation and in the real world. By capturing data from sensors such as tachometer, infrared, gyroscope and a light sensor, it was possible to compare the performance in the two scenarios and their differences. Finally, the entire test field and models were made available along with videos of some tests.","2643-685X","978-0-7381-1153-7","10.1109/LARS/SBR/WRE51543.2020.9306947","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9306947","","Robots;Robot sensing systems;Solid modeling;Educational robots;Sensors;Programming profession;Legged locomotion","control engineering education;educational robots;teaching","Virtual Robotics Toolkit;social distancing;deep learning;machine learning;programming;mechanical designs;visualization tools;robotic simulations;reality gap;batch tests;educational robotics simulator","","1","","19","IEEE","7 Jan 2021","","","IEEE","IEEE Conferences"
"Planning and Control of Forward Jumping Movement of Humanoid Robot","W. Liao; X. Chen; G. Huang; H. Qi; Q. Li; Z. Yu; Q. Huang","School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; Key Laboratory of Biomimetic Robots and Systems, Ministry of Education, Beijing, China; Beijing Advanced Innovation Center for Intelligent Robots and Systems, Beijing Institute of Technology, Beijing, China; School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; International Joint Research Laboratory of Biomimetic Robots and Systems, Ministry of Education, Beijing, China; Beijing Advanced Innovation Center for Intelligent Robots and Systems, Beijing Institute of Technology, Beijing, China","2019 IEEE International Conference on Advanced Robotics and its Social Impacts (ARSO)","6 Jan 2020","2019","","","61","67","Humanoid robot's stable walking and crawling movement patterns can help them adapt to a relatively flat road, but these movement patterns are difficult to deal with conditions such as ditches and platforms. Adding jumping motion to the robot can greatly enhance the robot's ability to adapt to the environment. This paper explores the forward jumping of the humanoid robot. A simplified three-link model of the humanoid robot in the sagittal plane is established and the jumping process is decomposed into three phases: take-off phase, flight phase, and landing phase. The mathematical model for each phase of the forward jumping of the humanoid robot is developed. In the whole process, motors provide torques for the three joints of the robot's hip joint, knee joint and ankle joint. Then the kinematics and dynamics are constrained for each phase, and the cost function is established. Furthermore, the pseudo-spectral method is used to optimize the design of the jumping trajectory to ensure the forward jumping of the humanoid robot. Finally, the validity of the proposed method for the whole forward jumping process is verified by the simulation experiment. The simulation result shows that the model of the humanoid robot can achieve 0.85 meters forward jumping.","2162-7576","978-1-7281-3176-4","10.1109/ARSO46408.2019.8948791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948791","","","humanoid robots;legged locomotion;robot dynamics;torque","forward jumping movement;humanoid robot;jumping process;take-off phase;flight phase;landing phase;sagittal plane;crawling movement patterns;walking patterns","","","","21","IEEE","6 Jan 2020","","","IEEE","IEEE Conferences"
"Impression of a Caregiving Task by Communicating the Robot’s Motion State through Robots Conversation","M. Kimoto; M. Shiomi; T. Iio; K. Shimohara; N. Hagita","IRC and Graduate School of Science and Engineering, ATR and Doshisha Univ., Kyoto, Japan; IRC, ATR, Kyoto, Japan; Faculty of Engineering, Information and Systems, Univ. of Tsukuba, Tsukuba, Japan; Graduate School of Science and Engineering, Doshisha Univ., Kyoto, Japan; IRC, ATR, Kyoto, Japan","2018 5th Asia-Pacific World Congress on Computer Science and Engineering (APWC on CSE)","3 Oct 2019","2018","","","113","115","Lifecare robots often have different forms from people, such as wheelchairs and robot arms. It becomes difficult for users to understand the motion state of such robots, and such difficulties have become a factor of giving a mental burden. For a robot to communicate its motion state to users, we propose a method of indirect communication with which a robot communicates its motion state to a user through a conversation with another robot. In this paper, we investigate whether the proposed method decreases the burden on users receiving care from a robot. Our experimental results suggest that our proposed method increases the likeability to a robot system; however, the results also suggest that our method does not have an influence on the impressions of a caregiving task.","","978-1-7281-1390-6","10.1109/APWConCSE.2018.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8853815","human-robot interaction;social robotics;multiple robots","Mobile robots;Manipulators;Task analysis;Humanoid robots;Wheelchairs;Senior citizens","health care;human-robot interaction;mobile robots;service robots;wheelchairs","lifecare robots;robot arms;motion state;indirect communication;robot system;caregiving task;robots conversation","","1","","4","IEEE","3 Oct 2019","","","IEEE","IEEE Conferences"
"Implementation of a Robotic Assistant to Develop and Monitor Learning Activities in Children with Autism","N. Martínez; V. López; J. Albo-Canals; O. Sans; L. Toppin","Universidad Tecnologica de Panamá, Panamá; Universidad Tecnologica de Panamá, Panamá; Lighthouse DIG, United States; Universidad Politécnica de Cataluña, Panamá; Universidad Tecnologica de Panamá, Panamá","2022 8th International Engineering, Sciences and Technology Conference (IESTEC)","16 Feb 2023","2022","","","678","683","Hookie is a social robot, which has been successfully used in therapy sessions with children with high-functioning ASD in the social and educational field at the Sant Joan de Déu Hospital, Barcelona. Currently in Panama, the Ann Sullivan Center of Panama (CASPAN), the Technological University of Panama (UTP) and Tufts University in Boston are collaborating in an exploratory study with the Hookie Robotic Platform in CASPAN classrooms. General methodology: 1) Interviews were conducted with specialists about the current needs of CASPAN in the classrooms. 2) The institution chose students in the range of 3 to 11 years old who fit the criteria to be evaluated on their interaction with the Hookie robot. 3) With the direction of the specialist, the robot was incorporated into the classroom as another student. 4) It was observed in which objectives could support the robot and allow the evaluation of the student-robot. 5) The actions of the robot were modified and adjusted to coincide or not with the student's objectives. Result: 1) Good acceptance on the part of the specialists in the use of Hookie. 2) Registration of new interactions on the part of certain students that previously did not respond with the other robots that reside in CASPAN.","","978-1-6654-9843-2","10.1109/IESTEC54539.2022.00112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10040847","Social Robotics;Autism Spectrum Disorder;Learning;Robot;Robotic Assistant;Education;Social Skills","Robots;Robot sensing systems;Hospitals;Monitoring;Autism;Three-dimensional displays;Social robots","computer aided instruction;computer games;educational institutions;medical disorders;paediatrics;patient treatment","Ann Sullivan Center;autism;Barcelona;Boston;CASPAN classrooms;educational field;high-functioning ASD;Hookie robot;learning activity monitoring;Panama;robotic assistant;Sant Joan de Déu Hospital;social field;social robot;student-robot;Technological University of Panama;therapy sessions;Tufts University;UTP","","","","","IEEE","16 Feb 2023","","","IEEE","IEEE Conferences"
"Users' Perception Variance in Emotional Embodied Robots for Domestic Tasks","A. H. M. Pinto; C. M. Ranieri; G. Nardari; D. C. Tozadore; R. A. F. Romero","Inst. of Math. & Comput. Sci., Universidade de Sao Paulo, Sao Carlos, SP, Brazil; Inst. of Math. & Comput. Sci.,, Universidade de Sao Paulo, Sao Carlos, SP, Brazil; Inst. of Math. & Comput. Sci.,, Universidade de Sao Paulo, Sao Carlos, SP, Brazil; Inst. of Math. & Comput. Sci.,, Universidade de Sao Paulo, Sao Carlos, SP, Brazil; Inst. of Math. & Comput. Sci.,, Universidade de Sao Paulo, Sao Carlos, SP, Brazil","2018 Latin American Robotic Symposium, 2018 Brazilian Symposium on Robotics (SBR) and 2018 Workshop on Robotics in Education (WRE)","27 Dec 2018","2018","","","476","482","Emotion is an important part of behavior and communication for human interaction, both with other humans and with machines. Social robots need to reach a level of acceptance for tasks that require suggest things to humans. However, it is difficult to achieve a human-like appearance and the expected social behavior without falling in the uncanny valley. In this paper, we investigate the interference in emotional response and acceptance of a robot to home living tasks and suggestion behaviors. Our hypothesis is that the shape of the robots affects the acceptance, specially when the robot was to suggest or give some orders to humans. A state-of-art commercial robot and a Robocup@home robot performed activities involving suggestion and games. The results showed that the recognition of emotions was much better in the robot LARA (with face expressions), and it was as well accepted as the commercial robot.","","978-1-5386-7761-2","10.1109/LARS/SBR/WRE.2018.00090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588596","Human Robot Interaction;Humanoid Robots;Robocup@Home;Emotion recognition","Robots;Conferences","humanoid robots;human-robot interaction;mobile robots;multi-robot systems;service robots","human interaction;social robots;expected social behavior;uncanny valley;emotional response;home living tasks;suggestion behaviors;state-of-art commercial robot;Robocup@home robot performed activities;robot LARA;emotional embodied robots;domestic tasks","","2","1","18","IEEE","27 Dec 2018","","","IEEE","IEEE Conferences"
